Iteration 1, Training loss 0.6931, Training accuracy 0.5534, Validation accuracy 0.7319
Iteration 2157, Training loss 0.0832, Training accuracy 0.9351, Validation accuracy 0.9397
Iteration 2158, Training loss 0.1459, Training accuracy 0.8797, Validation accuracy 0.9435
Iteration 2159, Training loss 0.1158, Training accuracy 0.9043, Validation accuracy 0.9481
Iteration 2160, Training loss 0.0740, Training accuracy 0.9584, Validation accuracy 0.9511
Iteration 2161, Training loss 0.1394, Training accuracy 0.8899, Validation accuracy 0.9525
Iteration 2162, Training loss 0.0756, Training accuracy 0.9504, Validation accuracy 0.9513
Iteration 2163, Training loss 0.0252, Training accuracy 0.9819, Validation accuracy 0.9488
Iteration 2164, Training loss 0.0007, Training accuracy 1.0000, Validation accuracy 0.9445
Iteration 2165, Training loss 0.0914, Training accuracy 0.9231, Validation accuracy 0.9413
Iteration 2166, Training loss 0.0229, Training accuracy 0.9723, Validation accuracy 0.9377
Iteration 2167, Training loss 0.0506, Training accuracy 0.9581, Validation accuracy 0.9356
Iteration 2168, Training loss 0.1687, Training accuracy 0.8519, Validation accuracy 0.9364
Iteration 2169, Training loss 0.1179, Training accuracy 0.9051, Validation accuracy 0.9386
Iteration 2170, Training loss 0.0310, Training accuracy 0.9777, Validation accuracy 0.9408
Iteration 2171, Training loss 0.0101, Training accuracy 0.9954, Validation accuracy 0.9430
Iteration 2172, Training loss 0.2164, Training accuracy 0.8874, Validation accuracy 0.9469
Iteration 2173, Training loss 0.0605, Training accuracy 0.9516, Validation accuracy 0.9506
Iteration 2174, Training loss 0.0509, Training accuracy 0.9618, Validation accuracy 0.9537
Iteration 2175, Training loss 0.0219, Training accuracy 0.9778, Validation accuracy 0.9547
Iteration 2176, Training loss 0.0571, Training accuracy 0.9376, Validation accuracy 0.9544
Iteration 2177, Training loss 0.0172, Training accuracy 0.9879, Validation accuracy 0.9535
Iteration 2178, Training loss 0.0589, Training accuracy 0.9589, Validation accuracy 0.9525
Iteration 2179, Training loss 0.0590, Training accuracy 0.9589, Validation accuracy 0.9518
Iteration 2180, Training loss 0.0132, Training accuracy 0.9896, Validation accuracy 0.9510
Iteration 2181, Training loss 0.0776, Training accuracy 0.9386, Validation accuracy 0.9509
Iteration 2182, Training loss 0.0876, Training accuracy 0.9346, Validation accuracy 0.9510
Iteration 2183, Training loss 0.0432, Training accuracy 0.9632, Validation accuracy 0.9518
Iteration 2184, Training loss 0.0538, Training accuracy 0.9557, Validation accuracy 0.9527
Iteration 2185, Training loss 0.0679, Training accuracy 0.9465, Validation accuracy 0.9532
Iteration 2186, Training loss 0.1810, Training accuracy 0.9202, Validation accuracy 0.9521
Iteration 2187, Training loss 0.0764, Training accuracy 0.9375, Validation accuracy 0.9506
Iteration 2188, Training loss 0.0328, Training accuracy 0.9704, Validation accuracy 0.9492
Iteration 2189, Training loss 0.0164, Training accuracy 0.9892, Validation accuracy 0.9476
Iteration 2190, Training loss 0.0695, Training accuracy 0.9389, Validation accuracy 0.9477
Iteration 2191, Training loss 0.1139, Training accuracy 0.9084, Validation accuracy 0.9491
Iteration 2192, Training loss 0.0943, Training accuracy 0.9402, Validation accuracy 0.9505
Iteration 2193, Training loss 0.0055, Training accuracy 0.9966, Validation accuracy 0.9507
Iteration 2194, Training loss 0.2425, Training accuracy 0.8119, Validation accuracy 0.9510
Iteration 2195, Training loss 0.0157, Training accuracy 0.9857, Validation accuracy 0.9511
Iteration 2196, Training loss 0.0396, Training accuracy 0.9638, Validation accuracy 0.9512
Iteration 2197, Training loss 0.0312, Training accuracy 0.9798, Validation accuracy 0.9502
Iteration 2198, Training loss 0.0757, Training accuracy 0.9510, Validation accuracy 0.9494
Iteration 2199, Training loss 0.1342, Training accuracy 0.8928, Validation accuracy 0.9511
Iteration 2200, Training loss 0.0377, Training accuracy 0.9732, Validation accuracy 0.9533
Iteration 2201, Training loss 0.0229, Training accuracy 0.9781, Validation accuracy 0.9554
Iteration 2202, Training loss 0.0535, Training accuracy 0.9555, Validation accuracy 0.9569
Iteration 2203, Training loss 0.0004, Training accuracy 1.0000, Validation accuracy 0.9574
Iteration 2204, Training loss 0.0751, Training accuracy 0.9427, Validation accuracy 0.9570
Iteration 2205, Training loss 0.0405, Training accuracy 0.9662, Validation accuracy 0.9557
Iteration 2206, Training loss 0.1131, Training accuracy 0.9223, Validation accuracy 0.9529
Iteration 2207, Training loss 0.0746, Training accuracy 0.9390, Validation accuracy 0.9500
Iteration 2208, Training loss 0.0643, Training accuracy 0.9479, Validation accuracy 0.9501
Iteration 2209, Training loss 0.0539, Training accuracy 0.9455, Validation accuracy 0.9528
Iteration 2210, Training loss 0.0208, Training accuracy 0.9831, Validation accuracy 0.9549
Iteration 2211, Training loss 0.0140, Training accuracy 0.9917, Validation accuracy 0.9566
Iteration 2212, Training loss 0.0253, Training accuracy 0.9790, Validation accuracy 0.9572
Iteration 2213, Training loss 0.4324, Training accuracy 0.7650, Validation accuracy 0.9511
Iteration 2214, Training loss 0.0563, Training accuracy 0.9564, Validation accuracy 0.9370
Iteration 2215, Training loss 0.0868, Training accuracy 0.9238, Validation accuracy 0.9228
Iteration 2216, Training loss 0.1575, Training accuracy 0.8542, Validation accuracy 0.9140
Iteration 2217, Training loss 0.1324, Training accuracy 0.8716, Validation accuracy 0.9111
Iteration 2218, Training loss 0.0374, Training accuracy 0.9599, Validation accuracy 0.9095
Iteration 2219, Training loss 0.1038, Training accuracy 0.9026, Validation accuracy 0.9111
Iteration 2220, Training loss 0.0651, Training accuracy 0.9393, Validation accuracy 0.9148
Iteration 2221, Training loss 0.0218, Training accuracy 0.9724, Validation accuracy 0.9177
Iteration 2222, Training loss 0.0594, Training accuracy 0.9379, Validation accuracy 0.9216
Iteration 2223, Training loss 0.0006, Training accuracy 1.0000, Validation accuracy 0.9255
Iteration 2224, Training loss 0.0396, Training accuracy 0.9664, Validation accuracy 0.9293
Iteration 2225, Training loss 0.0151, Training accuracy 0.9844, Validation accuracy 0.9327
Iteration 2226, Training loss 0.0802, Training accuracy 0.9368, Validation accuracy 0.9364
Iteration 2227, Training loss 0.0623, Training accuracy 0.9462, Validation accuracy 0.9400
Iteration 2228, Training loss 0.0394, Training accuracy 0.9743, Validation accuracy 0.9427
Iteration 2229, Training loss 0.1458, Training accuracy 0.9016, Validation accuracy 0.9456
Iteration 2230, Training loss 0.0437, Training accuracy 0.9496, Validation accuracy 0.9474
Iteration 2231, Training loss 0.0784, Training accuracy 0.9445, Validation accuracy 0.9491
Iteration 2232, Training loss 0.0575, Training accuracy 0.9572, Validation accuracy 0.9502
Iteration 2233, Training loss 0.0562, Training accuracy 0.9707, Validation accuracy 0.9511
Iteration 2234, Training loss 0.0386, Training accuracy 0.9766, Validation accuracy 0.9519
Iteration 2235, Training loss 0.0888, Training accuracy 0.9500, Validation accuracy 0.9521
Iteration 2236, Training loss 0.0540, Training accuracy 0.9696, Validation accuracy 0.9525
Iteration 2237, Training loss 0.0600, Training accuracy 0.9673, Validation accuracy 0.9525
Iteration 2238, Training loss 0.0211, Training accuracy 0.9829, Validation accuracy 0.9522
Iteration 2239, Training loss 0.1526, Training accuracy 0.8944, Validation accuracy 0.9518
Iteration 2240, Training loss 0.1817, Training accuracy 0.8604, Validation accuracy 0.9509
Iteration 2241, Training loss 0.0069, Training accuracy 0.9954, Validation accuracy 0.9501
Iteration 2242, Training loss 0.0317, Training accuracy 0.9755, Validation accuracy 0.9497
Iteration 2243, Training loss 0.0880, Training accuracy 0.9445, Validation accuracy 0.9477
Iteration 2244, Training loss 0.0988, Training accuracy 0.9064, Validation accuracy 0.9472
Iteration 2245, Training loss 0.1023, Training accuracy 0.9105, Validation accuracy 0.9481
Iteration 2246, Training loss 0.0510, Training accuracy 0.9537, Validation accuracy 0.9500
Iteration 2247, Training loss 0.0827, Training accuracy 0.9308, Validation accuracy 0.9526
Iteration 2248, Training loss 0.0204, Training accuracy 0.9901, Validation accuracy 0.9550
Iteration 2249, Training loss 0.1048, Training accuracy 0.9198, Validation accuracy 0.9561
Iteration 2250, Training loss 0.0767, Training accuracy 0.9509, Validation accuracy 0.9569
Iteration 2251, Training loss 0.0336, Training accuracy 0.9735, Validation accuracy 0.9575
Iteration 2252, Training loss 0.0305, Training accuracy 0.9742, Validation accuracy 0.9571
Iteration 2253, Training loss 0.0644, Training accuracy 0.9364, Validation accuracy 0.9552
Iteration 2254, Training loss 0.3120, Training accuracy 0.9092, Validation accuracy 0.9566
Iteration 2255, Training loss 0.0603, Training accuracy 0.9543, Validation accuracy 0.9568
Iteration 2256, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9566
Iteration 2257, Training loss 0.0174, Training accuracy 0.9904, Validation accuracy 0.9559
Iteration 2258, Training loss 0.0486, Training accuracy 0.9618, Validation accuracy 0.9556
Iteration 2259, Training loss 0.0222, Training accuracy 0.9836, Validation accuracy 0.9555
Iteration 2260, Training loss 0.0671, Training accuracy 0.9446, Validation accuracy 0.9553
Iteration 2261, Training loss 0.0029, Training accuracy 0.9964, Validation accuracy 0.9548
Iteration 2262, Training loss 0.0088, Training accuracy 0.9911, Validation accuracy 0.9539
Iteration 2263, Training loss 0.0064, Training accuracy 0.9944, Validation accuracy 0.9528
Iteration 2264, Training loss 0.0221, Training accuracy 0.9835, Validation accuracy 0.9517
Iteration 2265, Training loss 0.0420, Training accuracy 0.9662, Validation accuracy 0.9504
Iteration 2266, Training loss 0.0267, Training accuracy 0.9777, Validation accuracy 0.9500
Iteration 2267, Training loss 0.0402, Training accuracy 0.9651, Validation accuracy 0.9511
Iteration 2268, Training loss 0.0425, Training accuracy 0.9645, Validation accuracy 0.9534
Iteration 2269, Training loss 0.0221, Training accuracy 0.9796, Validation accuracy 0.9557
Iteration 2270, Training loss 0.0203, Training accuracy 0.9829, Validation accuracy 0.9572
Iteration 2271, Training loss 0.0329, Training accuracy 0.9742, Validation accuracy 0.9572
Iteration 2272, Training loss 0.1677, Training accuracy 0.8641, Validation accuracy 0.9553
Iteration 2273, Training loss 0.0234, Training accuracy 0.9813, Validation accuracy 0.9502
Iteration 2274, Training loss 0.0059, Training accuracy 0.9939, Validation accuracy 0.9438
Iteration 2275, Training loss 0.0758, Training accuracy 0.9383, Validation accuracy 0.9376
Iteration 2276, Training loss 0.0577, Training accuracy 0.9543, Validation accuracy 0.9340
Iteration 2277, Training loss 0.0526, Training accuracy 0.9526, Validation accuracy 0.9317
Iteration 2278, Training loss 0.1408, Training accuracy 0.8849, Validation accuracy 0.9338
Iteration 2279, Training loss 0.1832, Training accuracy 0.9041, Validation accuracy 0.9394
Iteration 2280, Training loss 0.0229, Training accuracy 0.9814, Validation accuracy 0.9449
Iteration 2281, Training loss 0.0581, Training accuracy 0.9496, Validation accuracy 0.9506
Iteration 2282, Training loss 0.0256, Training accuracy 0.9793, Validation accuracy 0.9549
Iteration 2283, Training loss 0.1002, Training accuracy 0.9537, Validation accuracy 0.9569
Iteration 2284, Training loss 0.0625, Training accuracy 0.9521, Validation accuracy 0.9562
Iteration 2285, Training loss 0.0298, Training accuracy 0.9806, Validation accuracy 0.9534
Iteration 2286, Training loss 0.0560, Training accuracy 0.9594, Validation accuracy 0.9497
Iteration 2287, Training loss 0.0607, Training accuracy 0.9492, Validation accuracy 0.9474
Iteration 2288, Training loss 0.0735, Training accuracy 0.9404, Validation accuracy 0.9453
Iteration 2289, Training loss 0.1278, Training accuracy 0.9035, Validation accuracy 0.9443
Iteration 2290, Training loss 0.0847, Training accuracy 0.9194, Validation accuracy 0.9452
Iteration 2291, Training loss 0.0711, Training accuracy 0.9350, Validation accuracy 0.9483
Iteration 2292, Training loss 0.0330, Training accuracy 0.9733, Validation accuracy 0.9515
Iteration 2293, Training loss 0.2094, Training accuracy 0.8564, Validation accuracy 0.9531
Iteration 2294, Training loss 0.1061, Training accuracy 0.9148, Validation accuracy 0.9557
Iteration 2295, Training loss 0.0034, Training accuracy 0.9994, Validation accuracy 0.9572
Iteration 2296, Training loss 0.0637, Training accuracy 0.9740, Validation accuracy 0.9580
Iteration 2297, Training loss 0.0860, Training accuracy 0.9347, Validation accuracy 0.9578
Iteration 2298, Training loss 0.0258, Training accuracy 0.9873, Validation accuracy 0.9562
Iteration 2299, Training loss 0.0102, Training accuracy 0.9908, Validation accuracy 0.9536
Iteration 2300, Training loss 0.2712, Training accuracy 0.8528, Validation accuracy 0.9531
Iteration 2301, Training loss 0.0522, Training accuracy 0.9648, Validation accuracy 0.9532
Iteration 2302, Training loss 0.0845, Training accuracy 0.9343, Validation accuracy 0.9538
Iteration 2303, Training loss 0.1541, Training accuracy 0.9053, Validation accuracy 0.9548
Iteration 2304, Training loss 0.0101, Training accuracy 0.9914, Validation accuracy 0.9556
Iteration 2305, Training loss 0.0607, Training accuracy 0.9409, Validation accuracy 0.9561
Iteration 2306, Training loss 0.0710, Training accuracy 0.9431, Validation accuracy 0.9567
Iteration 2307, Training loss 0.0045, Training accuracy 0.9990, Validation accuracy 0.9570
Iteration 2308, Training loss 0.0749, Training accuracy 0.9353, Validation accuracy 0.9565
Iteration 2309, Training loss 0.0346, Training accuracy 0.9696, Validation accuracy 0.9553
Iteration 2310, Training loss 0.0560, Training accuracy 0.9571, Validation accuracy 0.9542
Iteration 2311, Training loss 0.0142, Training accuracy 0.9873, Validation accuracy 0.9529
Iteration 2312, Training loss 0.1384, Training accuracy 0.8834, Validation accuracy 0.9534
Iteration 2313, Training loss 0.0184, Training accuracy 0.9956, Validation accuracy 0.9536
Iteration 2314, Training loss 0.0498, Training accuracy 0.9642, Validation accuracy 0.9537
Iteration 2315, Training loss 0.0623, Training accuracy 0.9432, Validation accuracy 0.9545
Iteration 2316, Training loss 0.0705, Training accuracy 0.9448, Validation accuracy 0.9548
Iteration 2317, Training loss 0.0002, Training accuracy 1.0000, Validation accuracy 0.9546
Iteration 2318, Training loss 0.0818, Training accuracy 0.9306, Validation accuracy 0.9539
Iteration 2319, Training loss 0.0174, Training accuracy 0.9809, Validation accuracy 0.9522
Iteration 2320, Training loss 0.0179, Training accuracy 0.9888, Validation accuracy 0.9499
Iteration 2321, Training loss 0.0423, Training accuracy 0.9661, Validation accuracy 0.9481
Iteration 2322, Training loss 0.0050, Training accuracy 0.9996, Validation accuracy 0.9456
Iteration 2323, Training loss 0.0459, Training accuracy 0.9634, Validation accuracy 0.9440
Iteration 2324, Training loss 0.0304, Training accuracy 0.9732, Validation accuracy 0.9436
Iteration 2325, Training loss 0.0894, Training accuracy 0.9202, Validation accuracy 0.9453
Iteration 2326, Training loss 0.0421, Training accuracy 0.9637, Validation accuracy 0.9480
Iteration 2327, Training loss 0.0731, Training accuracy 0.9351, Validation accuracy 0.9483
Iteration 2328, Training loss 0.0759, Training accuracy 0.9333, Validation accuracy 0.9505
Iteration 2329, Training loss 0.0361, Training accuracy 0.9701, Validation accuracy 0.9526
Iteration 2330, Training loss 0.1016, Training accuracy 0.9074, Validation accuracy 0.9545
Iteration 2331, Training loss 0.0492, Training accuracy 0.9572, Validation accuracy 0.9531
Iteration 2332, Training loss 0.1070, Training accuracy 0.9163, Validation accuracy 0.9493
Iteration 2333, Training loss 0.0151, Training accuracy 0.9852, Validation accuracy 0.9448
Iteration 2334, Training loss 0.0633, Training accuracy 0.9389, Validation accuracy 0.9403
Iteration 2335, Training loss 0.2411, Training accuracy 0.8159, Validation accuracy 0.9435
Iteration 2336, Training loss 0.1393, Training accuracy 0.9149, Validation accuracy 0.9472
Iteration 2337, Training loss 0.0563, Training accuracy 0.9424, Validation accuracy 0.9508
Iteration 2338, Training loss 0.0928, Training accuracy 0.9112, Validation accuracy 0.9529
Iteration 2339, Training loss 0.1362, Training accuracy 0.9091, Validation accuracy 0.9510
Iteration 2340, Training loss 0.0130, Training accuracy 0.9863, Validation accuracy 0.9463
Iteration 2341, Training loss 0.1172, Training accuracy 0.9061, Validation accuracy 0.9431
Iteration 2342, Training loss 0.0689, Training accuracy 0.9397, Validation accuracy 0.9412
Iteration 2343, Training loss 0.0134, Training accuracy 0.9879, Validation accuracy 0.9397
Iteration 2344, Training loss 0.0490, Training accuracy 0.9602, Validation accuracy 0.9395
Iteration 2345, Training loss 0.0001, Training accuracy 1.0000, Validation accuracy 0.9392
Iteration 2346, Training loss 0.2943, Training accuracy 0.8340, Validation accuracy 0.9447
Iteration 2347, Training loss 0.0990, Training accuracy 0.9205, Validation accuracy 0.9505
Iteration 2348, Training loss 0.0119, Training accuracy 0.9947, Validation accuracy 0.9538
Iteration 2349, Training loss 0.0178, Training accuracy 0.9910, Validation accuracy 0.9548
Iteration 2350, Training loss 0.1206, Training accuracy 0.9085, Validation accuracy 0.9546
Iteration 2351, Training loss 0.0875, Training accuracy 0.9264, Validation accuracy 0.9540
Iteration 2352, Training loss 0.0082, Training accuracy 0.9975, Validation accuracy 0.9533
Iteration 2353, Training loss 0.0525, Training accuracy 0.9604, Validation accuracy 0.9529
Iteration 2354, Training loss 0.0081, Training accuracy 1.0000, Validation accuracy 0.9524
Iteration 2355, Training loss 0.0606, Training accuracy 0.9609, Validation accuracy 0.9525
Iteration 2356, Training loss 0.0837, Training accuracy 0.9322, Validation accuracy 0.9531
Iteration 2357, Training loss 0.1168, Training accuracy 0.9282, Validation accuracy 0.9536
Iteration 2358, Training loss 0.0345, Training accuracy 0.9736, Validation accuracy 0.9544
Iteration 2359, Training loss 0.1770, Training accuracy 0.8556, Validation accuracy 0.9547
Iteration 2360, Training loss 0.0461, Training accuracy 0.9568, Validation accuracy 0.9554
Iteration 2361, Training loss 0.0290, Training accuracy 0.9765, Validation accuracy 0.9564
Iteration 2362, Training loss 0.0326, Training accuracy 0.9745, Validation accuracy 0.9573
Iteration 2363, Training loss 0.0186, Training accuracy 0.9930, Validation accuracy 0.9579
Iteration 2364, Training loss 0.0370, Training accuracy 0.9775, Validation accuracy 0.9584
Iteration 2365, Training loss 0.0677, Training accuracy 0.9390, Validation accuracy 0.9585
Iteration 2366, Training loss 0.0309, Training accuracy 0.9750, Validation accuracy 0.9587
Iteration 2367, Training loss 0.0206, Training accuracy 0.9851, Validation accuracy 0.9587
Iteration 2368, Training loss 0.0065, Training accuracy 0.9953, Validation accuracy 0.9585
Iteration 2369, Training loss 0.0526, Training accuracy 0.9537, Validation accuracy 0.9581
Iteration 2370, Training loss 0.0190, Training accuracy 0.9851, Validation accuracy 0.9571
Iteration 2371, Training loss 0.0219, Training accuracy 0.9848, Validation accuracy 0.9562
Iteration 2372, Training loss 0.0259, Training accuracy 0.9768, Validation accuracy 0.9555
Iteration 2373, Training loss 0.0125, Training accuracy 0.9891, Validation accuracy 0.9547
Iteration 2374, Training loss 0.0129, Training accuracy 0.9892, Validation accuracy 0.9544
Iteration 2375, Training loss 0.0133, Training accuracy 0.9882, Validation accuracy 0.9540
Iteration 2376, Training loss 0.0363, Training accuracy 0.9683, Validation accuracy 0.9536
Iteration 2377, Training loss 0.0435, Training accuracy 0.9607, Validation accuracy 0.9534
Iteration 2378, Training loss 0.0299, Training accuracy 0.9743, Validation accuracy 0.9528
Iteration 2379, Training loss 0.0352, Training accuracy 0.9722, Validation accuracy 0.9533
Iteration 2380, Training loss 0.0794, Training accuracy 0.9420, Validation accuracy 0.9547
Iteration 2381, Training loss 0.0199, Training accuracy 0.9857, Validation accuracy 0.9558
Iteration 2382, Training loss 0.0521, Training accuracy 0.9601, Validation accuracy 0.9566
Iteration 2383, Training loss 0.4050, Training accuracy 0.8984, Validation accuracy 0.9560
Iteration 2384, Training loss 0.0169, Training accuracy 0.9863, Validation accuracy 0.9504
Iteration 2385, Training loss 0.0151, Training accuracy 0.9882, Validation accuracy 0.9419
Iteration 2386, Training loss 0.0980, Training accuracy 0.9213, Validation accuracy 0.9429
Iteration 2387, Training loss 0.1119, Training accuracy 0.9197, Validation accuracy 0.9507
Iteration 2388, Training loss 0.0308, Training accuracy 0.9764, Validation accuracy 0.9551
Iteration 2389, Training loss 0.0138, Training accuracy 0.9892, Validation accuracy 0.9562
Iteration 2390, Training loss 0.0163, Training accuracy 0.9870, Validation accuracy 0.9561
Iteration 2391, Training loss 0.0468, Training accuracy 0.9673, Validation accuracy 0.9545
Iteration 2392, Training loss 0.3086, Training accuracy 0.8569, Validation accuracy 0.9535
Iteration 2393, Training loss 0.0309, Training accuracy 0.9750, Validation accuracy 0.9530
Iteration 2394, Training loss 0.0255, Training accuracy 0.9716, Validation accuracy 0.9523
Iteration 2395, Training loss 0.0600, Training accuracy 0.9520, Validation accuracy 0.9513
Iteration 2396, Training loss 0.0872, Training accuracy 0.9285, Validation accuracy 0.9513
Iteration 2397, Training loss 0.0458, Training accuracy 0.9642, Validation accuracy 0.9511
Iteration 2398, Training loss 0.0721, Training accuracy 0.9482, Validation accuracy 0.9512
Iteration 2399, Training loss 0.0445, Training accuracy 0.9720, Validation accuracy 0.9510
Iteration 2400, Training loss 0.0421, Training accuracy 0.9571, Validation accuracy 0.9510
Iteration 2401, Training loss 0.1429, Training accuracy 0.8859, Validation accuracy 0.9516
Iteration 2402, Training loss 0.0754, Training accuracy 0.9407, Validation accuracy 0.9519
Iteration 2403, Training loss 0.0554, Training accuracy 0.9572, Validation accuracy 0.9521
Iteration 2404, Training loss 0.1248, Training accuracy 0.9030, Validation accuracy 0.9525
Iteration 2405, Training loss 0.0448, Training accuracy 0.9797, Validation accuracy 0.9525
Iteration 2406, Training loss 0.2221, Training accuracy 0.8385, Validation accuracy 0.9515
Iteration 2407, Training loss 0.0538, Training accuracy 0.9655, Validation accuracy 0.9503
Iteration 2408, Training loss 0.0551, Training accuracy 0.9625, Validation accuracy 0.9493
Iteration 2409, Training loss 0.0460, Training accuracy 0.9678, Validation accuracy 0.9486
Iteration 2410, Training loss 0.0743, Training accuracy 0.9540, Validation accuracy 0.9485
Iteration 2411, Training loss 0.0178, Training accuracy 0.9874, Validation accuracy 0.9487
Iteration 2412, Training loss 0.0345, Training accuracy 0.9714, Validation accuracy 0.9493
Iteration 2413, Training loss 0.0105, Training accuracy 0.9936, Validation accuracy 0.9501
Iteration 2414, Training loss 0.0639, Training accuracy 0.9482, Validation accuracy 0.9513
Iteration 2415, Training loss 0.1054, Training accuracy 0.9317, Validation accuracy 0.9531
Iteration 2416, Training loss 0.0320, Training accuracy 0.9664, Validation accuracy 0.9537
Iteration 2417, Training loss 0.0721, Training accuracy 0.9332, Validation accuracy 0.9536
Iteration 2418, Training loss 0.0823, Training accuracy 0.9483, Validation accuracy 0.9538
Iteration 2419, Training loss 0.0278, Training accuracy 0.9733, Validation accuracy 0.9536
Iteration 2420, Training loss 0.1485, Training accuracy 0.8635, Validation accuracy 0.9502
Iteration 2421, Training loss 0.1300, Training accuracy 0.9278, Validation accuracy 0.9476
Iteration 2422, Training loss 0.0121, Training accuracy 0.9908, Validation accuracy 0.9446
Iteration 2423, Training loss 0.0841, Training accuracy 0.9200, Validation accuracy 0.9432
Iteration 2424, Training loss 0.0785, Training accuracy 0.9367, Validation accuracy 0.9444
Iteration 2425, Training loss 0.0702, Training accuracy 0.9319, Validation accuracy 0.9467
Iteration 2426, Training loss 0.1568, Training accuracy 0.8715, Validation accuracy 0.9514
Iteration 2427, Training loss 0.1206, Training accuracy 0.8995, Validation accuracy 0.9537
Iteration 2428, Training loss 0.0329, Training accuracy 0.9701, Validation accuracy 0.9548
Iteration 2429, Training loss 0.0595, Training accuracy 0.9446, Validation accuracy 0.9558
Iteration 2430, Training loss 0.0408, Training accuracy 0.9698, Validation accuracy 0.9563
Iteration 2431, Training loss 0.0263, Training accuracy 0.9832, Validation accuracy 0.9563
Iteration 2432, Training loss 0.0313, Training accuracy 0.9756, Validation accuracy 0.9563
Iteration 2433, Training loss 0.0442, Training accuracy 0.9680, Validation accuracy 0.9557
Iteration 2434, Training loss 0.0737, Training accuracy 0.9439, Validation accuracy 0.9552
Iteration 2435, Training loss 0.1252, Training accuracy 0.8939, Validation accuracy 0.9552
Iteration 2436, Training loss 0.0468, Training accuracy 0.9618, Validation accuracy 0.9547
Iteration 2437, Training loss 0.0502, Training accuracy 0.9520, Validation accuracy 0.9537
Iteration 2438, Training loss 0.0169, Training accuracy 0.9896, Validation accuracy 0.9518
Iteration 2439, Training loss 0.0584, Training accuracy 0.9618, Validation accuracy 0.9493
Iteration 2440, Training loss 0.0167, Training accuracy 0.9851, Validation accuracy 0.9463
Iteration 2441, Training loss 0.0791, Training accuracy 0.9261, Validation accuracy 0.9435
Iteration 2442, Training loss 0.0012, Training accuracy 1.0000, Validation accuracy 0.9400
Iteration 2443, Training loss 0.0348, Training accuracy 0.9723, Validation accuracy 0.9370
Iteration 2444, Training loss 0.1529, Training accuracy 0.8967, Validation accuracy 0.9372
Iteration 2445, Training loss 0.0666, Training accuracy 0.9357, Validation accuracy 0.9386
Iteration 2446, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9400
Iteration 2447, Training loss 0.0541, Training accuracy 0.9506, Validation accuracy 0.9436
Iteration 2448, Training loss 0.0571, Training accuracy 0.9479, Validation accuracy 0.9487
Iteration 2449, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9526
Iteration 2450, Training loss 0.0592, Training accuracy 0.9523, Validation accuracy 0.9563
Iteration 2451, Training loss 0.0452, Training accuracy 0.9675, Validation accuracy 0.9589
Iteration 2452, Training loss 0.0366, Training accuracy 0.9761, Validation accuracy 0.9597
Iteration 2453, Training loss 0.0819, Training accuracy 0.9347, Validation accuracy 0.9592
Iteration 2454, Training loss 0.0769, Training accuracy 0.9332, Validation accuracy 0.9586
Iteration 2455, Training loss 0.0374, Training accuracy 0.9729, Validation accuracy 0.9578
Iteration 2456, Training loss 0.0854, Training accuracy 0.9164, Validation accuracy 0.9574
Iteration 2457, Training loss 0.0918, Training accuracy 0.9123, Validation accuracy 0.9580
Iteration 2458, Training loss 0.0197, Training accuracy 0.9872, Validation accuracy 0.9584
Iteration 2459, Training loss 0.0306, Training accuracy 0.9720, Validation accuracy 0.9584
Iteration 2460, Training loss 0.0001, Training accuracy 1.0000, Validation accuracy 0.9579
Iteration 2461, Training loss 0.0662, Training accuracy 0.9423, Validation accuracy 0.9575
Iteration 2462, Training loss 0.0039, Training accuracy 0.9982, Validation accuracy 0.9564
Iteration 2463, Training loss 0.0381, Training accuracy 0.9697, Validation accuracy 0.9550
Iteration 2464, Training loss 0.1568, Training accuracy 0.8638, Validation accuracy 0.9513
Iteration 2465, Training loss 0.2994, Training accuracy 0.8536, Validation accuracy 0.9505
Iteration 2466, Training loss 0.0450, Training accuracy 0.9635, Validation accuracy 0.9500
Iteration 2467, Training loss 0.0708, Training accuracy 0.9456, Validation accuracy 0.9505
Iteration 2468, Training loss 0.0354, Training accuracy 0.9650, Validation accuracy 0.9517
Iteration 2469, Training loss 0.0825, Training accuracy 0.9194, Validation accuracy 0.9536
Iteration 2470, Training loss 0.0282, Training accuracy 0.9782, Validation accuracy 0.9544
Iteration 2471, Training loss 0.0180, Training accuracy 0.9858, Validation accuracy 0.9553
Iteration 2472, Training loss 0.0584, Training accuracy 0.9487, Validation accuracy 0.9558
Iteration 2473, Training loss 0.0245, Training accuracy 0.9848, Validation accuracy 0.9560
Iteration 2474, Training loss 0.0548, Training accuracy 0.9562, Validation accuracy 0.9560
Iteration 2475, Training loss 0.0260, Training accuracy 0.9775, Validation accuracy 0.9561
Iteration 2476, Training loss 0.0437, Training accuracy 0.9639, Validation accuracy 0.9563
Iteration 2477, Training loss 0.0031, Training accuracy 1.0000, Validation accuracy 0.9565
Iteration 2478, Training loss 0.0237, Training accuracy 0.9813, Validation accuracy 0.9569
Iteration 2479, Training loss 0.0587, Training accuracy 0.9493, Validation accuracy 0.9572
Iteration 2480, Training loss 0.0188, Training accuracy 0.9847, Validation accuracy 0.9576
